Likes,Dislikes,Problems
"We are able to use this platform to make data more palatable for our clients. By showcasing the comments and user emotions, we can better see what we can do better.","N/A, I have not run into anything that I dislike","The platform allows us to display data in a straightforward way. We can present it to our clients in a way that is visually appealing, and by getting the audience sentiment we can see what users like to see on their feed ."
I like how easy it is to use. It takes a lot of the guesswork out of analyzing a large amount of data. It also lets you analyze a lot of data in a short amount of time.,"Some features are not the most user-friendly, but there aren't too many pain points once the little nuances are figured out. For example, to filter for specific posts, at the Campaign level, it's done through the calendar view, not a separate filter.",It is allowing me to analyze data more quickly and also dive deeper into data. It helps me see themes that I might not have been able to find on my own .
"Canvs is a beautiful way to visualize our open-ended responses and avoid tedious manual coding. We're working to transition our clients from the current, manually-coded open ends to ones generated using Canvs so we can save time and provide visually appealing data.","I love everything, but want more features! It would be great if the StoryAssist feature could give responses by variables/demos/etc.","Canvs can save us time by allowing myself or other members of my team to analyze open-ended responses, without us needing to rely on someone manually coding text ."
Canvs AI's ability to capture emotions accurately combined with its user-friendly interface makes it a powerful tool for understanding and harnessing the emotional drivers behind conversations and feedback.,"It can be a bit complicated and there is a learning curve, but that likely comes with the territory for all the features and capabilities.","Content optimization: Content creators and marketers can use Canvs AI to optimize their messaging and content strategy. By analyzing the emotional impact of different pieces of content, they can identify what resonates with their target audience and adjust their content accordingly to evoke desired emotional responses."
We use Canvs primarily for sentiment analysis. This tool allows us to analyze sentiment on dark posts (which aren't typically available elsewhere) and on TikTok!,I wish it were a bit easier to pull specific representative quotes along with identifiers (e.g. age and gender) to help with reporting. I also wish the story assist feature gave a little more information regarding response salience so that we don't accidentally overstate the prevelance of some sentiments.,"Canvs helps our Insights and Analytics team prepare and present in-depth campaign reports for our partners. By providing the sentiment analysis we pull from Canvs, we are able to present a holistic performance picture. ."
Canvs has made analysis of open ended text data so much easier and allowed us to dive deeper with our customers. I'm loving the storyAssist feature.,"I wish the story-teller function was a bit smarter and helpful. For my work, I will ask it questions like ""pull out the best quotes that exemplify xxx"" and sometimes it works and sometimes it doesn't.",Ability to scale and speed up the time it takes to analyze open ended text data. .
"Canvs is an extremely powerful tool that can save time and strengthen analysis. I see it as a critical addition to the market research and insights portfolio of tools, valuable for both vendors and client-side researchers.",There are a lot of ways to look at the data as well as different features. It takes time and some practice to get accustomed to the different views and features.,Canvs AI helps me sift through tens of thousands of open-ended responses to unlock nuanced customer feedback and broader trends that I wouldn't have spotted with the naked eye. Generative AI summary also saves so much time in getting big picture narratives. .
I love how quickly the tool is able to assist with analyzing open-ended response data. I especially love the new story assist feature.,Canvs AI is a helpful tool for me outside of my typical data programming - I just wish I could somehow link the two,It saves me considerable time in analyzing open ended data and I especially appreciate it as a second check in case I missed something while analyzing on my own. .
"I like the short stories and summaries it provides for the open-ended data I feed it. As a research analyst, it allows me to get a good overview of my data before I get into the nitty-gritty","I am loving this AI, don't think i dislike anything about it",Helps me drastically cut down the amount of time it takes to analyze open-ended answers.Canvs literally reclaims hours in the day back for me. .
It does a great job of categorizing responses accurately and makes it easy to see what's included in each category. It also allows you to quickly and easily group similar categories together or tag as you please.,"Overall, a very well-integrated great tool has not found any downside yet.",It's automatically helping us code verbatim open-ends without having to spend the time looking through them one by one and categorize them manually. It also gives insight into the emotion behind the text. .
Story AI is the best feature on Canvs. I can read an overview of all the open ends as soon as I upload my data,AI Story Assist needs a bit of work but this is FAR from a dealbreaker. Wish there was a way to easily combine codes from the summary screen.,Quick insights so I can get a head start on writing findings .
"Canvs AI is an emption and behaviour insights platform that understands how consumers feel, why they feel that way, and the business impact those feelings and behaviours create for brands through analyzing digital conversations, such as open ended text prompts in surveys, online product reviews, or from social comments on twitter, facebook, instagram and youtube.",can get more organized specially when it comes to admin details,The most helpful part of canvs AI has been the story assist feature. It has been very helpful pulling out broad themes and providing summaries of open-ended responses. It has cut down on the time needed to review open ends incredibly. .
"Canvs takes into account the nuances of slang, entertainment-specific phrasing, and emoji behavior of social media for text analysis, resulting in a much more accurate experience than traditional social listening competitors that are not specialized for entertainemnt listening. Adding to that, its open-ended text analysis product, where one can upload text from surveys and other sources, increases its utility.","Canvs currently, as of this review, lacks non-English text analysis, which could be limiting for global work.","It speeds up the open-end analysis process, freeing up my time for more strategic work rather than going through open-ends to find themes. ."
"Canvs.ai, one of the things that set it apart is its emotion analysis capabilities. The platform can accurately categorize and analyze the emotions expressed in social media content. This feature is particularly useful for businesses like us who are looking to understand their audience's sentiments.",As such nothing but I think the model needs to learn more and can get better with more data flowing. Else it's perfect in terms of understanding sentiments. A slight improvement in support will be helpful.,"It helps businesses to understand the sentiments and get insights from them and it helps to make emotional data-driven decisions like humans. Best part it you can analyze text, social campaigns, and OTT content too. ."
Canvas AI's filters are excellent for finding answers based on subjects and emotions. It helps me save time when analyzing open ended responses and provides accurate perceptions of participants feelings.,"It is unfortunate that Canvs AI does not include bulk data analysis feature. To have everything, we need data analysis in one place. It would be really helpful if they provided this feature packet with Canvs AI.","I can vetter comprehend participant options of a product, service or brand tanks to Canvs AI. It has revolutionized my market research and provides me with priceless insights into their emotions. ."
"I really like how Canvs AI allows for creating use cases in all types of industries, such as branding, tv programs, and even social media campaigns. There are even different features depending on the type of industry.","The only thing I dislike is how all the prices are listed as contact us, which is not very helpful for people who want to test out a short-term subscription to try out some features.","Canvs is eliminating the need for as much human interaction and leveraging technology, specifically AI language models which helps users see a faster analysis of any text they want to input. ."
Solutions offered to any customer irrespective of their business domain,UI can be made more Jazzy that will attract more customers,Used this product in sentiment analysis POC project .
I can easily upload an excel full of open ends and get classified themes that help me build a story around my data.,The tool has a lot to offer. I'm still figuring it out to use it to its full potential.,"We have many open ends that we get in our surveys, and it used to take a lot of time before using Canvs to go through each comment and come up with a summary. Canvs has reduced a lot of time taken for analyzing open ends. ."
I like that I can upload some data and quickly get back some insights. I also like that I can ask the AI questions,Havent explored enough to find any dislikes,Question on the social sentiment among comments left on our brand account pages .
Setting up surveys is fairly simple and generates quick and basic results. I am usually able to share screenshots directly from the site in my reports when sharing basic data,"Playing aroud with the results is tricky. Aside from simple emotional responses or topics, setting up new codes is not a simple task and I am not always confident in the results.",Measuring the sentiment of comments on influencer campaign content. It is able to provide me with a basic overview of the feelings of comments and commonly used words. .
Easy to get social sentiment around key TV shows,It doesn't have all social metrics that you may want for robust social reporting,Canvs AI helps me get a pulse of how viewers are feeling about a TV show that my company produces .
"I like the story assist tool, which helps to quickly analyze main themes within columns - with respect to cuts in other columns.","The story assist tool needs more explanation in the aspect of smart sampling, as I'm afraid this may be causing some data loss during analysis process.","I'm specifically using Canvs for Open End text analysis with Story Assist tool, it helps me to understand text responses quickly with respect to categories in other columns. ."
"The visualization of open ended data, which can otherwise feel overwhelming.",Sometimes it's tricky to bucket open ended responses in the way I want it to - but we are working with the canvs team to improve that,Quickly analyzing open ended data .
Easy to categorize and group open-ended responses. The emotion analysis capability is phenomenal. Relatively easy to set up surveys and generate results.,"The AI is not perfect, so quite a bit of manual input is required to ensure you get the results you so desire. The support is a little wanting.","Unsorted data is difficult to make sense of, so Canvs AI precisely helps us to make sense of the data we gather so as to make better decisions ."
"I love that you can upload thousands of responses and quickly see the key themes and emotions that float to the top... I like the ability to see the open-ends that correspond with each topic, emotion, etc. I also like that statistically significant differences between groups will be noted and that you can filter the results by key groups of interest.","As it uses AI, it doesn't always give new ideas. Also the large time it takes to generate the response.","Using Canvs AI allows us to parse through thousands and thousands of open-ends without manually reading through every response, which saves time and money. ."
I like the way it uses AI to optimise the digital content.,Nothing all good to go no negative thing to describe,Canvas AI is solving the problem of inefficiencies in digital advertising.
Help me to create multiple images edit and creating YouTube templates which made me to get good subscribers.,I live mist of the features in it. Nothing to dislike from this product,I am YouTuber I was struggling for thubnails and image creating it help me on that. .
"Save time, the option to export to Excel and cross tab","Cultural influence can be improved, and payment plans can be more flexible.",Save time on oE coding .
"Gain knowledge about the product reviews and surveys in an easy way. Canvs uses AI automation to categorize, classify, and analyze the meaning &amp; sentiment of verbatim text so you can turn your research Achilles heel into your greatest insights strength, all while saving hours in valuable research time.",It's all good... They are improving so no worries,"Donâ€™t leave open ends behind in your move to agile research. Open-ended text is notoriously time-consuming to analyze thoroughly, forcing you to compromise. Canvs allows you to analyze open ends in seconds. A powerful but intuitive insights dashboard makes it possible to explore, filter and pivot the data and produce stunning visualizations or full data exports. ."
It saved us tons of time with use of AI. It provides the best filters and analyzes emotions very accurately.,"Currently there isnt any flaws Ive found with it and ive been using it for around a month which is probably a good thing lol, quick and easy to use I cant stress that enough",This software has delivered the best result with text analysis with the help of NLP(Natural language Processing). We like their features and support. .
"It can be used by content creators, for business purpose etc. There are so many options to play with like edit the images, add lot of effects and create images from audio etc.",Language barrier must be ther in Canvas AI. It's could very very complicated to use a new users.its version would be there in changes of features so it's complications would be for consumer.,In today life we needs apps like these to make our life easier. As a content creators it solves my problems .
"that its creative and the free version provides alot of great features, I felt it was easy to use and there were no flaws that I could think about off the top of my head.",Till now it's all good with the perfect customers support.,The AI story assist has done wonders in helping me understand how companies are talking and what verbiage they are using when talking about their specific company .
Canvas AI is very use full for consumer thorough use analytics of tools AI. Market and promotion based tolls in Canvas features.iys collect a data fro consumer and analyazing of significant of consumer needs.,Most of them are available under pro version. Would be great to have a more of freemium features and can makes people make better choice in investing on the product,It's provide data in visual of consumer based on analysis . It's provide market analysis data for business growth and improve a negative feedback points.ita based on open ended platform. .
From my experience Canvs AI is the best analysis ai for open ended text it allows you to get powerful insights which leads to accurate decisions.,You have to pay for feautres that should be free by other applications standards.,"It takes thousands of talk and convert it to understandable point of view, to make a good move. ."
"No matter what you give the prompt, you end up getting appropriate results. And directly modified as per final needs. cuts down on designing time and finding inspiration becomes easy!",Great tool for customer discovery. I was happy with my experience.,We have a restaurant which requires frequent marketing templates to enhance the business accordingly and canva makes it easier to design and find inspiration along! Would be a game changer! .
"Canvs AI provides the ability to easily extract YouTube comments. You can easily look at key moods/topics and create a word cloud. It's actually pretty fast, too.","It's a little bit unclear what goes into the way moods are determined from the comments. With that said, it provides some nice additional context for analysis!",There is a need to understand what fans are saying about YouTube videos. This tool does a good job to get some qualitative analytics. .
The accuracy of the sentiment classification is the best I've seen.,I have to manually collect and input comments when analyzing social conversation.,The sentiment classification is terrible in Brandwatch. Canvs helps provide more accurate sentiment. .
"Canvas AI is easy to use. It is also repeatable, taking the human factor out of coding, making it possible for OEs to become benchmarks in research. Also, with Canvas you can now get the sentiment in OEs which is great, our clients like the read on emotional and traditional comments. It adds more ""qualitative"" insights to the quantitative data.","Honestly, I have not found anything I truly dislike. When I have suggestions for improvement, the Canvas team listens and works to make it better.","Canvas AI is making it possible for us to have more OEs in our quantitative studies since it is more affordable for coding. The coding is done quickly, and more accurately and we believe the results. ."
"It uses everything from social media to product reviews and survey texts to craete actionable data about your audience, segments, and what works/doesn't work for them","It feels a bit like a non-essential product, in that AI-driven analytics can be offered by other platforms too","Finding out what audience and various segments are saying about the product across sources, like social media, surveys, reviews. Helps save time ."
"1. Canvs has a great AI on its own that is always improving. However, the ability to write rules using easily understandable boolean logic allows the feedback to be categorized exactly the way you want with high accuracy all in one elegant formula.",there isn't anything i dislike. the AI platform and team are great,"Canvs provides our 'why' behind the score better than other text analytic tools in the industry. The amount of manual work this tool saves our company is invaluable. Canvs paints a picture of our customer's voice allowing us to visualize the level of impact a 'code' may be having on the company, region, call center, product, etc. We can better coach our associates, understand customer challenges by segment, and get to the bottom of issues quickly and at a high level without sacrificing the details found in reading open ends. ."
Hugely efficient and it goes way beyond sentiment into advanced emotion analysis. The team are excellent to work with. The platform is continually developing e.g. auto-translation,"The AI needs a lot of help to truly understand what customers are saying (especially if you are not in one of a dozen or so pre-selected industries that Canvs has tailored their AI toward). Canvs gives you the ability to write rules, but this functionality is a little clunky. For starters, you can write rules when looking at a dataset and it will automatically apply those rules, BUT... once a rule is written, any edits made to it will not be applied to the current dataset. So then you have to contact Canvs support to delete out that dataset and the re-upload the dataset (waiting the 10-20 minutes for Canvs to analyze) and then apply the rules again. As you can imagine, this is a little painful because you may have to do this several or more times before you get the rules the way they need to be. Beyond this issue, I've discovered that some of the rules aren't even catching some of the items they are meant to. I know that an AI can't be perfect, but some of the topics, nets &amp; codes that Canvs creates or leaves off also are hard to overlook.","It enables me to analyse unstructured data/text quickly and cost-efficiently and with a clear and easy to interpret output/insight report that is actionable. The flexibility of the platforms means I can do simple/quick analysis or more complex analysis for tracking. With the auto-translate option, text from multiple languages can now be uploaded and easily translated and analysed - a real-time saver. ."
"The ""Highlights"" Canvs gives based on the data/filters you set is probably my favorite part. With the right filters Canvs can quickly tell you ""Florida had 5x more *comment topic* than the average of all other states"". Canvs is also pretty quick. If you are someone who doesn't have time for comment coding, this is a great tool because almost every file I've uploaded, Canvs has analyzed within 10-20 minutes. The people I've worked with at Canvs have been super kind &amp; willing to help. Canvs is always working to make their tool better.","There isn't much I dislike from what I have used! Perhaps some of the tags can be a bit unclear on why they decided on certain theme assignments. But other than that, no issues!","Currently, our customers are self-selecting the reasons why they gave us a certain NPS prior to then giving us their comments. We originally were attracted to Canvs for the emotional state application, to add that extra level of insight. Canvs has also helped me identify some correlations that I may not have seen on my own. ."
"I really like the ability to upload large amounts of open-ends and have it sort into response types (excited, happy, dislike, etc) which makes it easy to find the exact OE needed.",The reading of customer emotions isn't the best feature. It still has a lake of ability,"We don't have a ton of time to spend going through open-ends for presentations, so Canvs AI makes it much easier to find the quotes we need for our specific reports. ."
the comprehensive analysis of social media conversation,maybe missing some integrations. but overall it was great.,Understand the audience awareness of the brand .
I used this tool to build hypothesis about our users' behaviour,"Sometimes the shows don't have consistent naming. For example,The Oscars are under that name one year whereas a different year they're under the Academy Awards, so it can be confusing what needs to be typed in.",analysing our users' feedback and their processing .
The interface is easy to learn and use. I like being able to see sentiment when looking at shows and what drives that.,Could be more better and automatically suggest,Canvs helps us see how the audience is reacting to big award shows and seeing what talent drove positive sentiment. .
Ease of use and at the right place of usage,"Sometimes the program can take a long time to run text analysis, so it is hard to plan your work day around. Will it take 30 minutes or 4 hours? (I know file size effects this, but still struggle to gauge the time)",Graphic design .
"I love how easy it is to navigate the platform, especially for beginners.","Canvs can be a little frustrating when (in my business) a lot of the data is bucketed into generic topics, like ""film"" or ""nothing"". Canvs has also gone through a lot of changes recently that aren't that easy to keep up with on your own or are super intuitive.",It is helping my team gain an understanding of open end responses much faster and connect some emotions to the responses. .
"Canvs makes analyzing a lot of data quick and easy. The ability of Canvs to ""bucket"" things by real-world language is super helpful.","I have no problems with Canvas AI, it's such a great application to pull information from!","We receive thousands of open-end responses and it would take a lot of time, effort, and money to try and analyze them manually. Canvs allows us to quickly find trends, issues, or benefits to help market a product. ."
"I love how Canvs AI helps me understand what consumers are enjoying with the shows I'm creating analytics for. I also love how the application is easy to use, I had no issues getting used to working with it.",I dislike that we are limited to 50 columns of data. I could use even more.,Canvs AI has helped my job understand what content fans would like from their favorite shows. The application helps us understand what fans liked/ talked about the most from episodes and more. That data has allowed us to make engaging posts for our audience! .
"Canvs gives you insights at your fingertips, analyzing how consumer verbatims fit into a larger quantitative dataset. I love the highlights feature that helps extract meaningful tidbits of information to help build a story around the data.",I wish the text analytics were more nuanced but it gets me more than halfway there so it's good enough. The ability to filter for a longer date range for video assets on YouTube is also next to impossible.,"Canvs AI helps solidify the story behind the data in my mind so I can create better outputs for my clients. My clients love the information that Canvs AI makes very accessible to me. Crosstabs in a cinch, Boolean logic to filter, it's a great platform! ."
"The text analytics and topic breakdown are among the best for entertainment purposes, like for movies and shows, in the industry. I also enjoy the ability to quickly look at any given show, movie, or video asset on YouTube and see how well or not well it's being recieved. All of this coupled with the ability to share dashboards without logins required saves me a lot of time.",They have been improving their testing environment,"It helps solve ""sentiment"" related questions and gives me the ability to quickly create benchmarks and compare against other movies and shows, regardless of which company they are from. The open-ended text analytic tool is also extremely helpful for quickly understanding survey responses. ."
Our Canvs AI API integration enables us to give our customers actionable insights by creating SMS Surveys within our application,"Sometimes it doesn't capture the nuances in the language and the coding ultimately isn't that helpful for our purposes, which is identifying common themes.",Provide our customers a way to analyze open ends from SMS surveys the send their consumer .
"Getting a big picture view of large open-end data sets. We use it almost exclusively to analyze open-end responses in surveys, and when there's a lot to go through it's much easier to do it through Canvs.",I didn't dislike anything. I really liked how user friendly it was. There wasn't anything that I didn't like.,It's helping us identify what things audiences like and dislike in our TV shows by analyzing open-ends. .
I like that it saved me a lot of time and that it was really accurate in flagging the responses that should be removed,"can be hard to get started as there are so many capabilities, but the canvs team provides great training &amp; support",It's solving the amount of time that I would spend on open end cleaning. Especially for surveys that have multiple open ends .
"easy to use, comprehensive functionality, makes analyzing open end verbatim or unstructured data significantly quickly",There is no such thing that i dislike about the Canvs but I would like it to work on other types of documents and data,"whenever i have open-ended data from my traditional quant surveys, reading through the responses takes a lot of time and reporting on those themes can be a long task. Canvs helps speed up the process by not only automating the codes &amp; topics, but it also adds emotional sentiment analysis too, for an even deeper view on what my survey results mean. ."
How intuitive the platform is to use and how quickly it delivers the results,"AI is unable to group some codes into the correct nets, for example if a topic may become a code but the positive/negative association to the topic is not included.","Mostly, i analyse all the data gathered. It helps me to determine the key themes and topics and look through each with association to the feelings that people expressed ."
Searching keywords to help make net codes. Interesting to have emotions associated. Ability to change multiple open ends' codes at one time.,Feels a bit hard to navigate even after a few trainings and hours poking around.,Ability to change the codes myself .
Having the themes generated and key insights highlighted has been helpful when parsing through many open ends!,It could use some improvments on the technical side. The interface is good but can be improved.,Cutting down on analysis time so we can spend time better refining insights .
"User-friendly, allows to edit and change tags",Difficult to export data and information,Easily codes open ends and consumer comments .
It's definitely a time saver! I love being able to see the themes at a glance,Sometimes I would describe the UX as a bit clunky and I would like the exports to perhaps be a bit more easy,Qualitative analysis and auto-coding of survey answers .
I like how Canvs AI can aggregate and analyze closed-data with open-ended data. That functionality is very unique.,Customer service was slow to respond and there we often lapses without hearing a response to questions.,Being able to compare closed-ended data to open-ended data .
"Easy to use website tool/interface, speed of analysis",Want the ability to easily add/import/create weights and then export weighted data and coded responses back out for further analysis,Quicker turnaround on large volumes of survey data allow for faster reporting and using data for key business decisions. .
