Likes,Dislikes,Problems
Provides top NLP capabilities without having full knowledge about machine learning. Its easy to use and needs minimal development. It can go through large amount of data and analyse it.,As its evolving ML technology its not so accurate and still needs a manual intervension. Its expansive compared to its result expectations also the level of customization is less,It's automatic ML feature which learns from various text files with test scenarios and provide text analysis if the text is positive or negative nature. The API feature adds a privilege custom UI and many other internal tools. .
Customization and Integration. Easily integrate with AWS Glue. Lambda and S3.,"As for me no dislike it, but sometimes cost may be a factor for small businesses, but it again depends on data.","It is an effective NLP service. You can use it for sentiment analysis, can be used to identify topics in large volumes of text data automatically and for document classification, you can also use it. ."
Very powerful service to analyze text to using built in models.,None at this time becoz still in eval stage and learning,Key phrases in text and syntax etc .
It is one of the best and easy use software which gives a training modules to work in flow.,Limited domain specificity and cost control is a major concern.,It has a dependency on cloud infrastructure but although its making work easy and saves time. .
"Amazon Comprehend's simplicity is its most intriguing feature. Key phrases, subjects, sentiment, and other information can all be extracted from papers with ease.","Although a human could always perform it more accurately, there aren't really any drawbacks.",We determine the initial update made by a customer in a ticket and base all subsequent updates' language choice on that. .
Amazon conprehend makes it very easy to extract insights from a document. It also stores content to better train its model.,One thing is we cannot train it based up on our own training model thus maing it not that flexible.,It helps through getting insights from social networking sites that is gaining popularity day by day. .
The Application helps automate the task through the NLP technique,It can be improved by adding more local languages for such a diverse country like India having different spoken regional languages.,The NLU platform is helping users to guide through the application contexting in various languages as a mediator .
Helps in analysing the customers and thus we can serve them better,More content can be added so that better understanding of customer products can be obtained,Helps in understanding the text and it helps in better understanding .
Detects customers sentiments instantly and help us in improving products,For some domain specific it fails like on baking data.,Better understand of the reviews
I like amazon comprehend for NLP service to analyze and understand text in various languages.,"We've had to fine-tune quite a bit, and there have been limitations with sentiment analysis.",For text mining. .
Amazon Comprehend is a user-friendly interface and has well-documented APIs. It can support multiple languages and be seamlessly integrated with other AWS services.,It's new. Seems to lack functionality of programs. Seems less than sufficient ability.,We're able to gain a ton of valuable insights from textual data. .
Ability to detect personally identifiable info in emails. No ML experience Needed. Good but not always accurate in analyzing text data.,"I could mention the price. If you are planning to process millions/billions of documents, it might be wise to build your own NLP pipeline/tool, but as a first step I would recommend to use Comprehend.",Uncovering valuable insights in text. .
Amazon comprhend can certainly tell you customer sentiment about your products.,"There aren't really downsides, but a human could always do it more accurately.",Amazon comprehend can tell you what customers like and dislike about your product and how to improve. .
"Ec2,k8 are Good, given good support soon, and smart","Vpc not global, need create voc piarion always",All good .
"It's simple UI, and well public-facing documentation",Maybe the price is a bit high for startups.,We are using it for performing internal analytics for our users. .
It works really good to identify what language a text is and it have a high accuracy and we use this for ticket updates from customers from around the world. We have agents with native languages that states that amazon comprehend classification of the languages have a high accuracy,I have not seen anything on the downside as we only use it for identify text language,We identify the first update from a customer in a ticket to set the language on the ticket to be used for translate all updates based on that .
"Amazons comprehend is a better option when you need a Pre trained NLP text analysis AI engine, it gives you a lot's of features - Sentiment Analysis, Key phrases extraction, Entities identification,topic modelling.","Amazon comprehends topic modelling is not that easy to implement &amp; requires a lot's documents to get the proper result, also it produces output in zip files which again need to be extracted first.",To analyze the behavior of the persons in the call we extract sentiments of the utterances of the persons using Amazon Comprehend &amp; we found it more accurate as compare to other Text analytic services.
"What I like most about this great tool is that it can be integrated with other great AWS software like amazon S3 and Glue, which facilitates the storage of our texts and documents for their previous analysis in Amazon Comprehend, besides this the prices are really accessible because it only charges for the amount of text analyzed, that is why Comprehend can be used by small and large companies.",Its interface is very simple but it works great for what I consider to be no problem since it gives it greater ease of use.,"We use this great tool to fulfill little by little our goal of creating artificial intelligence meaningful for humanity, since by using it we can understand through the analysis of texts, documents, chat and much more what our users seek and so be able to satisfy them. ."
"Customer emails, support tickets, product reviews, social media, even advertising copy represents insights into customer sentiment that can be put to work for your business. Using Amazon Comprehend we were able to reach our future customers even better. When a new competitor moved into town we had to figure out how to reach the customers better. We were able to figure out what we were doing positively in the customers' eyes and what negative things we needed to figure out.",Its interface is very simple but it works great for what I consider to be no problem since it gives it greater ease of use. Through this multiple directors were able to have control of what they were seeing! Spreading the information through the company was huge for growth!,We kept hearing 'rumors' of what was wrong with reaching more customers. Through Amazon Comprehend we were able to fully pinpoint what we needed to adapt. Through the responses from customers we were able to gain a lot of insight. .
I love AWS as a platform and what I like about Comprehend is I can integrate this quickly with any other AWS managed services. I have used AWS Comprehend in the past for multiple projects and found the services to be reliably accurate and scalable.,I personally didn't find any major factor to dislike this product as it does exactly what it says.,I was building a product that required me to use basic NLP without the need to build any models since I didn't have any data. Comprehend helped me scale the product and get it upto speed without gathering any data and building any model. .
"The learning curve isn't steep, also data handling is simple and the outcomes are very precise. The best part is that just like every other Amazon tool, Comprehend also seamlessly integrates with all the Amazon tools like S3 buckets, which makes the overall usage very easy.",I've yet to discover anything that I dislike about Amazon Comprehend. It really is an extraordinary piece of software.,"It helps in understanding the customer's perspective and also their feedbacks, this helped us in analyzing their intent and also we used it in the implementation of our sentiment analysis engine, for tweets. ."
The portfolio of services offered under Amazon Comprehend--from Medical to Natural Language Processing is one of the best examples of machine learning I've yet seen in the world of Business Intelligence. Truly remarkable!,"There isn't anything I currently dislike. The api support is very generous so all the fullstack development can be done. Additionally, the fact that it supports python, one of the more popular languages, is very good.","I have been able to use Amazon Comprehend Natural Language Processing to discern ""customer sentiment"" within huge swathes of texts, such as customer emails, support tickets, product reviews, social media, and even advertising copy, that I couldn't possibly have begun to evaluate without the technology. ."
"I really liked the simple api for nodejs. Additionally, the integration of python api is also very easy to use.","After using iot for the first one year, its difficult to estimate montly cost for AWS",Analyze customer product reviews and determine whether it is positive or negative .
"AWS is one of the best solutions for migrating the website on cloud. After implementing AWS our website speed has increased multiple folds and its opening very fast in different locations like US, Canada and India. AWS is highly recommended.","Up until recently, there was very little customization that could be done which limited the full functionality of Comprehend.",1. Fast speed
The fact that I can define the list of entities and then expose the list and Comprehend does all the heavy lifting for me.,Nothing. Was easy to navigate through.,It allows the defined list on entities to be grouped and organized all my documents in one place. .
Amazingly fast at learning and navigating through system. Helped keep details organized for future use,it was very basic something that I could do on my own. I did not find anything. Special about it,Keeps time down to a minimum on the actual work. Compiles all details/data for use. Makes time dedicated forward towards the client .
that you can find similar wording in your document or a like theme.,There can be challenges in accurate assessment of language when multiple languages are simliar,it did not real solve any problem or a need that I had .
The ability to recognize multiple languages and to accurately translate without a human in the loop.,I've disliked that it can take some time to get this product set-up.,Doing a prototype to assess potential of redoing 100% human language translation into a model of focusing human translators to only the uncertain/most difficult translation needs. .
I've appreciated the creativity that Amazon provides for completing business in a new way.,"The management interface lacks some functionality, although it is a fairly new product, so I expect that to change over time. As of now, you cannot manually delete jobs you no longer need.",This has helped us to think about meaning and purpose from e-mails in a different way. .
"There is a very low learning curve to get started with the service, processing data is easy and the results are quite accurate from what we have seen thus far.",There is really nothing to say about this. It works amazing. It’s so easy,Analyzing user feedback submissions to compare their number ratings with the sentiment detected from the text. It has helped more accurately classify and group the feedback. This allows us to more easily and accurately prioritize system improvements. .
What I like about it is it’s a great tool is that it can be intergrated with other great software,Maybe if could have been a little more affordable,We used this product to fulfill little our weekly goals .
I thought it was very easy to get this set up. I especially liked the gui,There was not much I dislike can’t wait for more,Just connecting with customers .
